customer_id,customer_status,churn_label,churn_score,cltv,monthly_charge,total_revenue,satisfaction_score,contract,payment_method,offer,internet_type,premium_tech_support,gender,age,senior_citizen,state,city
0002-ORFBO,Stayed,No,65,2205,65.60,974.81,3,One Year,Credit Card,No Offer,Cable,Yes,Female,37,No,California,Frazier Park
0003-MKNFE,Stayed,No,66,5414,59.90,610.28,5,Month-to-Month,Credit Card,No Offer,Cable,No,Male,46,No,California,Glendale
0004-TLHLJ,Churned,Yes,71,4479,73.90,415.45,1,Month-to-Month,Bank Withdrawal,Offer E,Fiber Optic,No,Male,50,No,California,Costa Mesa
0011-IGKFF,Churned,Yes,91,3714,98.00,1599.51,1,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Male,78,Yes,California,Martinez
0013-EXCHZ,Churned,Yes,68,3464,83.90,289.54,1,Month-to-Month,Credit Card,No Offer,Fiber Optic,Yes,Female,75,Yes,California,Camarillo
0013-MHZWF,Stayed,No,55,5108,69.40,722.38,3,Month-to-Month,Credit Card,Offer E,Cable,Yes,Female,23,No,California,Midpines
0013-SMEOE,Stayed,No,26,5011,109.70,8611.41,3,Two Year,Bank Withdrawal,Offer A,Fiber Optic,Yes,Female,67,Yes,California,Lompoc
0014-BMAQU,Stayed,No,49,4604,84.65,6214.28,4,Two Year,Credit Card,Offer B,Fiber Optic,Yes,Male,52,No,California,Napa
0015-UOCOJ,Stayed,No,34,5525,48.20,414.06,3,Two Year,Bank Withdrawal,Offer E,DSL,No,Female,68,Yes,California,Simi Valley
0016-QLJIS,Stayed,No,25,5509,90.45,7807.80,3,Two Year,Credit Card,No Offer,Cable,Yes,Female,43,No,California,Sheridan
0017-DINOC,Stayed,No,54,5435,45.20,2460.55,4,Two Year,Credit Card,No Offer,Cable,Yes,Male,47,No,California,Rancho Santa Fe
0017-IUDMW,Stayed,No,52,6252,116.80,9609.47,3,Two Year,Credit Card,No Offer,Fiber Optic,Yes,Female,25,No,California,Sunnyvale
0018-NYROU,Stayed,No,57,5536,68.95,444.75,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,58,No,California,Antelope
0019-EFAEP,Stayed,No,53,5513,101.30,7423.25,3,Two Year,Bank Withdrawal,Offer A,Fiber Optic,No,Female,32,No,California,La Mesa
0019-GFNTW,Stayed,No,37,5795,45.05,2560.10,3,Two Year,Bank Withdrawal,No Offer,DSL,Yes,Female,39,No,California,Los Olivos
0020-INWCK,Stayed,No,26,4865,95.75,8784.86,5,Two Year,Credit Card,Offer A,Fiber Optic,No,Female,58,No,California,Woodlake
0020-JDNXP,Stayed,No,37,3607,61.25,1993.20,4,One Year,Credit Card,No Offer,DSL,Yes,Female,52,No,California,Point Reyes Station
0021-IKXGC,Joined,No,50,4432,72.10,79.87,4,One Year,Bank Withdrawal,Offer E,Fiber Optic,No,Female,72,Yes,California,San Marcos
0022-TCJCI,Churned,Yes,92,2654,62.70,3271.65,1,One Year,Credit Card,No Offer,DSL,No,Male,79,Yes,California,Daly City
0023-HGHWL,Churned,Yes,85,5437,25.10,25.10,3,Month-to-Month,Bank Withdrawal,No Offer,Cable,No,Male,67,Yes,California,Morgan Hill
0023-UYUPN,Stayed,No,61,4015,25.20,2877.80,3,One Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,79,Yes,California,Ahwahnee
0023-XUOPT,Churned,Yes,75,2973,94.10,1781.88,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,26,No,California,Carnelian Bay
0027-KWYKW,Stayed,No,78,3585,83.75,2652.88,4,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Female,30,No,California,Alpaugh
0030-FNXPP,Joined,No,59,5634,19.85,66.56,4,Month-to-Month,Credit Card,No Offer,No Internet Service,No,Female,22,No,California,Keeler
0031-PVLZI,Churned,Yes,81,4133,20.35,126.07,1,Month-to-Month,Credit Card,Offer E,No Internet Service,No,Female,34,No,California,Korbel
0032-PGELS,Churned,Yes,74,5171,30.50,30.50,1,Month-to-Month,Bank Withdrawal,No Offer,DSL,No,Female,37,No,California,Palomar Mountain
0036-IHMOT,Stayed,No,65,5892,103.70,7603.95,3,One Year,Bank Withdrawal,No Offer,Fiber Optic,Yes,Female,37,No,California,Parlier
0040-HALCW,Stayed,No,60,6393,20.40,2154.40,4,Two Year,Credit Card,No Offer,No Internet Service,No,Male,42,No,California,Modesto
0042-JVWOJ,Stayed,No,26,3722,19.60,1430.80,4,One Year,Bank Withdrawal,Offer C,No Internet Service,No,Male,64,No,California,Glen Ellen
0042-RLHYP,Stayed,No,76,4131,19.70,4045.81,5,Two Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,47,No,California,Eureka
0048-LUMLS,Stayed,No,55,5263,91.20,4838.92,5,One Year,Credit Card,Offer C,Fiber Optic,No,Male,23,No,California,Moss Beach
0048-PIHNL,Stayed,No,20,6061,20.45,3330.32,3,One Year,Bank Withdrawal,Offer B,No Internet Service,No,Female,48,No,California,Los Angeles
0052-DCKON,Stayed,No,42,5845,115.80,10830.97,3,One Year,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,28,No,California,Los Angeles
0052-YNYOT,Stayed,No,72,5462,20.55,2861.91,5,One Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,28,No,California,Calexico
0056-EPFBG,Stayed,No,29,3899,39.40,825.40,3,Two Year,Credit Card,No Offer,Cable,Yes,Male,33,No,California,Redding
0057-QBUQH,Stayed,No,59,4797,25.10,2387.67,4,Two Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,31,No,California,San Martin
0058-EVZWM,Stayed,No,42,5875,89.80,5239.00,3,Month-to-Month,Bank Withdrawal,Offer B,Fiber Optic,No,Female,37,No,California,Stockton
0060-FUALY,Stayed,No,26,5238,94.75,6564.66,3,Month-to-Month,Bank Withdrawal,Offer B,Fiber Optic,No,Female,60,No,California,Los Angeles
0064-SUDOG,Stayed,No,57,5190,20.30,455.86,5,Two Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,48,No,California,Huntington Park
0064-YIJGF,Stayed,No,46,4994,75.75,2611.02,3,Month-to-Month,Bank Withdrawal,Offer C,Fiber Optic,No,Male,60,No,California,Yermo
0067-DKWBL,Churned,Yes,95,3475,49.25,179.08,2,Month-to-Month,Bank Withdrawal,No Offer,DSL,No,Male,69,Yes,California,San Diego
0068-FIGTF,Stayed,No,54,2297,78.20,3399.52,3,One Year,Credit Card,Offer C,DSL,Yes,Female,20,No,California,Fremont
0071-NDAFP,Stayed,No,65,5230,25.50,1178.43,3,Two Year,Credit Card,No Offer,No Internet Service,No,Male,31,No,California,Santa Rosa
