customer_id,churn_label,predicted_churn_probability,predicted_churn,risk_band,cltv,total_revenue,monthly_charge,satisfaction_score,churn_score,contract,offer,payment_method,internet_type,premium_tech_support
5924-IFQTT,No,0.04334378780183203,0,Low,2862,1109.06,72.8,4,46,Month-to-Month,No Offer,Bank Withdrawal,DSL,Yes
8000-REIQB,Yes,1.0,1,Very High,3208,102.45,69.95,2,94,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
3243-ZHOHY,No,0.04748111601997269,0,Low,5052,626.55,20.1,3,72,One Year,Offer D,Credit Card,No Internet Service,No
8849-AYPTR,No,0.19302443973421163,0,Low,3296,3978.45,91.25,5,57,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,No
2659-VXMWZ,Yes,0.1565835841576913,0,Low,4146,9441.18,111.3,3,85,One Year,Offer A,Bank Withdrawal,Fiber Optic,No
1936-CZAKF,No,0.030953534363165048,0,Low,4283,2409.9,49.65,4,29,Two Year,No Offer,Credit Card,Cable,No
2074-GKOWZ,Yes,0.994248190483892,1,Very High,3851,203.27,89.55,1,73,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
6496-JDSSB,No,0.10459917612357815,0,Low,2165,943.96,80.0,4,22,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
2403-BCASL,Yes,0.8173598755584073,1,Very High,3711,6381.54,111.95,2,93,One Year,Offer B,Bank Withdrawal,Cable,Yes
6668-CNMFP,No,0.040597856334301526,0,Low,4473,2388.33,89.35,4,57,One Year,No Offer,Bank Withdrawal,Fiber Optic,Yes
9000-PLFUZ,No,0.08192832315742939,0,Low,4277,2947.55,49.45,3,61,Two Year,No Offer,Credit Card,DSL,No
4415-WNGVR,No,0.09685358500167571,0,Low,3355,1409.65,79.2,4,42,One Year,No Offer,Bank Withdrawal,DSL,Yes
7596-ZYWBB,No,0.05675537562748567,0,Low,4372,6673.65,59.6,4,75,Two Year,Offer B,Mailed Check,DSL,Yes
3640-JQGJG,No,0.202642404078393,0,Low,4680,692.05,44.8,3,44,Month-to-Month,No Offer,Bank Withdrawal,Cable,No
7398-HPYZQ,No,0.0012901462347956814,0,Low,5007,8433.18,90.55,4,23,Two Year,Offer A,Bank Withdrawal,Cable,Yes
5844-QVTAT,No,0.016918776456884246,0,Low,4276,2245.47,58.45,4,21,One Year,Offer C,Credit Card,Cable,No
7663-CUXZB,No,0.04446079946657409,0,Low,6251,7445.07,113.75,3,23,Two Year,Offer B,Bank Withdrawal,Fiber Optic,Yes
6519-ZHPXP,No,0.010731951853183768,0,Low,4183,10685.12,108.3,4,33,Two Year,No Offer,Bank Withdrawal,Fiber Optic,Yes
3166-PNEOF,No,0.007632097350623891,0,Low,4471,5450.41,86.45,4,74,Two Year,Offer B,Credit Card,Cable,Yes
5707-ZMDJP,No,0.0023879086827293997,0,Low,4590,5409.17,69.7,4,27,Two Year,No Offer,Credit Card,DSL,Yes
1545-ACTAS,No,0.012357341182684207,0,Low,5921,6713.84,99.7,3,29,One Year,Offer B,Bank Withdrawal,Fiber Optic,No
1306-RPWXZ,No,0.0012901462347956814,0,Low,4784,2577.95,20.45,4,20,Two Year,No Offer,Credit Card,No Internet Service,No
8400-WZICQ,No,0.014448670694467322,0,Low,4149,5100.19,55.7,3,61,Month-to-Month,Offer B,Bank Withdrawal,DSL,No
