feature,importance
numeric__satisfaction_score,0.3593947000711034
numeric__tenure_months,0.07648867425015124
categorical__contract_Month-to-Month,0.0762269212044834
numeric__number_of_referrals,0.044924746251263394
numeric__total_charges,0.04463246411865146
categorical__contract_Two Year,0.04377810638699376
numeric__total_revenue,0.04167876139065891
numeric__total_long_distance_charges,0.027069996127344283
numeric__monthly_charge,0.026120656505829915
categorical__internet_type_Fiber Optic,0.019090551222681724
numeric__avg_monthly_gb_download,0.017212245387753265
numeric__age,0.014339898168870654
numeric__number_of_dependents,0.01391342205129952
numeric__cltv,0.013692141726425404
categorical__dependents_Yes,0.01314628370832988
numeric__avg_monthly_long_distance_charges,0.012375450497497041
categorical__dependents_No,0.011289102388263203
categorical__online_security_Yes,0.010473297935488736
categorical__contract_One Year,0.01008498070845787
categorical__online_security_No,0.009483363956702028
categorical__internet_service_No,0.006461916538181277
categorical__offer_Offer E,0.005248152020143734
categorical__internet_service_Yes,0.00483909342618067
categorical__payment_method_Credit Card,0.004810549462919705
categorical__internet_type_No Internet Service,0.00462120159268272
categorical__premium_tech_support_No,0.004264389135385923
categorical__premium_tech_support_Yes,0.004172699144012137
categorical__paperless_billing_No,0.0037188468108085406
categorical__senior_citizen_Yes,0.0036604195540651478
categorical__senior_citizen_No,0.0034486705953542087
categorical__payment_method_Bank Withdrawal,0.0033221465805305865
categorical__paperless_billing_Yes,0.003123610851872724
categorical__referred_a_friend_No,0.003093999482450275
categorical__married_No,0.003006325824350239
categorical__referred_a_friend_Yes,0.00281904106531848
categorical__streaming_music_Yes,0.002781098073776501
categorical__married_Yes,0.0027265049232247283
categorical__internet_type_DSL,0.0025768818800033914
categorical__streaming_music_No,0.002558041367053493
numeric__total_extra_data_charges,0.002477407609071998
categorical__multiple_lines_No,0.0023719163582350783
categorical__streaming_tv_No,0.0022540099350506835
categorical__streaming_tv_Yes,0.002211992071707028
categorical__multiple_lines_Yes,0.0021963039018750986
categorical__streaming_movies_Yes,0.002178770818172307
categorical__offer_No Offer,0.002170856160146133
categorical__unlimited_data_Yes,0.0020302620248244213
categorical__gender_Male,0.0020159402236324237
categorical__gender_Female,0.0019554152118342162
categorical__online_backup_No,0.0018708089851297864
categorical__device_protection_plan_No,0.0018588964096479465
categorical__streaming_movies_No,0.001815949514507288
numeric__total_refunds,0.0016818009156620635
categorical__online_backup_Yes,0.001664812316176008
categorical__offer_Offer B,0.0016597285667359527
categorical__device_protection_plan_Yes,0.001620638032777611
categorical__unlimited_data_No,0.0014108644168335802
categorical__under_30_Yes,0.0013903202521577964
categorical__under_30_No,0.001356149564594527
categorical__offer_Offer D,0.0010574270529488427
categorical__internet_type_Cable,0.0010137233850216287
categorical__offer_Offer C,0.0007890152060847199
categorical__offer_Offer A,0.0005929234461205973
categorical__phone_service_No,0.0005865254183793568
categorical__phone_service_Yes,0.0005690865388159249
categorical__payment_method_Mailed Check,0.0005291032772932734
categorical__quarter_Q3,0.0
