customer_id,segment_id,segment_name
0002-ORFBO,0,Segment 0 — Emerging Risk
0003-MKNFE,0,Segment 0 — Emerging Risk
0004-TLHLJ,0,Segment 0 — Emerging Risk
0011-IGKFF,0,Segment 0 — Emerging Risk
0013-EXCHZ,0,Segment 0 — Emerging Risk
0013-MHZWF,0,Segment 0 — Emerging Risk
0013-SMEOE,2,Segment 2 — High-Value At-Risk
0014-BMAQU,2,Segment 2 — High-Value At-Risk
0015-UOCOJ,0,Segment 0 — Emerging Risk
0016-QLJIS,2,Segment 2 — High-Value At-Risk
0017-DINOC,1,Segment 1 — High-Value Stable
0017-IUDMW,2,Segment 2 — High-Value At-Risk
0018-NYROU,0,Segment 0 — Emerging Risk
0019-EFAEP,2,Segment 2 — High-Value At-Risk
0019-GFNTW,0,Segment 0 — Emerging Risk
0020-INWCK,2,Segment 2 — High-Value At-Risk
0020-JDNXP,0,Segment 0 — Emerging Risk
0021-IKXGC,0,Segment 0 — Emerging Risk
0022-TCJCI,0,Segment 0 — Emerging Risk
0023-HGHWL,0,Segment 0 — Emerging Risk
0023-UYUPN,1,Segment 1 — High-Value Stable
0023-XUOPT,0,Segment 0 — Emerging Risk
0027-KWYKW,0,Segment 0 — Emerging Risk
0030-FNXPP,1,Segment 1 — High-Value Stable
0031-PVLZI,1,Segment 1 — High-Value Stable
0032-PGELS,0,Segment 0 — Emerging Risk
0036-IHMOT,2,Segment 2 — High-Value At-Risk
0040-HALCW,1,Segment 1 — High-Value Stable
0042-JVWOJ,1,Segment 1 — High-Value Stable
0042-RLHYP,1,Segment 1 — High-Value Stable
0048-LUMLS,2,Segment 2 — High-Value At-Risk
0048-PIHNL,1,Segment 1 — High-Value Stable
0052-DCKON,2,Segment 2 — High-Value At-Risk
0052-YNYOT,1,Segment 1 — High-Value Stable
0056-EPFBG,0,Segment 0 — Emerging Risk
0057-QBUQH,1,Segment 1 — High-Value Stable
0058-EVZWM,2,Segment 2 — High-Value At-Risk
0060-FUALY,2,Segment 2 — High-Value At-Risk
0064-SUDOG,1,Segment 1 — High-Value Stable
0064-YIJGF,0,Segment 0 — Emerging Risk
0067-DKWBL,0,Segment 0 — Emerging Risk
0068-FIGTF,2,Segment 2 — High-Value At-Risk
0071-NDAFP,1,Segment 1 — High-Value Stable
0074-HDKDG,0,Segment 0 — Emerging Risk
0076-LVEPS,0,Segment 0 — Emerging Risk
0078-XZMHT,2,Segment 2 — High-Value At-Risk
0080-EMYVY,0,Segment 0 — Emerging Risk
0080-OROZO,2,Segment 2 — High-Value At-Risk
0082-LDZUE,0,Segment 0 — Emerging Risk
0082-OQIQY,0,Segment 0 — Emerging Risk
0083-PIVIK,2,Segment 2 — High-Value At-Risk
0089-IIQKO,2,Segment 2 — High-Value At-Risk
0093-EXYQL,2,Segment 2 — High-Value At-Risk
0093-XWZFY,0,Segment 0 — Emerging Risk
0094-OIFMO,0,Segment 0 — Emerging Risk
0096-BXERS,0,Segment 0 — Emerging Risk
0096-FCPUF,0,Segment 0 — Emerging Risk
0098-BOWSO,1,Segment 1 — High-Value Stable
0100-DUVFC,2,Segment 2 — High-Value At-Risk
0103-CSITQ,2,Segment 2 — High-Value At-Risk
0104-PPXDV,2,Segment 2 — High-Value At-Risk
0106-GHRQR,0,Segment 0 — Emerging Risk
0106-UGRDO,2,Segment 2 — High-Value At-Risk
0107-WESLM,0,Segment 0 — Emerging Risk
0107-YHINA,0,Segment 0 — Emerging Risk
0111-KLBQG,2,Segment 2 — High-Value At-Risk
0112-QAWRZ,0,Segment 0 — Emerging Risk
0112-QWPNC,2,Segment 2 — High-Value At-Risk
0114-IGABW,2,Segment 2 — High-Value At-Risk
0114-PEGZZ,0,Segment 0 — Emerging Risk
0114-RSRRW,1,Segment 1 — High-Value Stable
0115-TFERT,0,Segment 0 — Emerging Risk
0117-LFRMW,0,Segment 0 — Emerging Risk
0118-JPNOY,0,Segment 0 — Emerging Risk
0121-SNYRK,0,Segment 0 — Emerging Risk
0122-OAHPZ,0,Segment 0 — Emerging Risk
0123-CRBRT,2,Segment 2 — High-Value At-Risk
0125-LZQXK,0,Segment 0 — Emerging Risk
0128-MKWSG,0,Segment 0 — Emerging Risk
0129-KPTWJ,2,Segment 2 — High-Value At-Risk
0129-QMPDR,1,Segment 1 — High-Value Stable
