state,city,customers,churned_customers,avg_cltv,total_revenue,avg_monthly_charge,avg_satisfaction,churn_rate_pct,revenue_at_risk
California,Acampo,4,3,5254.5,18107.96,103.11,2.0,75.0,10471.36
California,Acton,4,0,4711.0,12156.36,69.53,4.25,0.0,0.0
California,Adelanto,5,1,4364.8,18235.49,56.56,3.6,20.0,4005.02
California,Adin,4,2,3990.5,5539.38,57.02,2.5,50.0,2457.91
California,Agoura Hills,5,2,4507.2,10641.88,48.99,2.8,40.0,9785.04
California,Aguanga,4,1,4501.0,10033.52,52.38,2.5,25.0,595.48
California,Ahwahnee,4,1,3666.0,9336.36,49.16,3.5,25.0,117.46
California,Alameda,8,0,4089.0,14092.66,22.47,4.62,0.0,0.0
California,Alamo,4,0,5193.75,30424.46,82.0,4.0,0.0,0.0
California,Albany,4,2,4286.5,15788.32,78.59,2.75,50.0,4402.92
California,Albion,4,0,3742.0,8536.12,72.58,4.0,0.0,0.0
California,Alderpoint,4,1,5122.5,15541.53,74.45,3.5,25.0,2024.3
California,Alhambra,9,3,3815.89,9292.61,55.78,3.44,33.33,812.97
California,Aliso Viejo,4,0,5056.25,26807.83,86.35,3.0,0.0,0.0
California,Alleghany,4,0,4193.5,4328.21,42.91,3.5,0.0,0.0
California,Alpaugh,4,3,4350.75,11860.65,69.99,2.0,75.0,9207.77
California,Alpine,5,3,4616.8,11379.36,64.98,2.6,60.0,781.86
California,Alta,4,0,4450.5,9490.16,50.49,3.75,0.0,0.0
California,Altadena,5,1,4095.2,9484.84,57.0,3.4,20.0,2290.92
California,Alturas,3,0,5261.33,1819.33,63.45,3.67,0.0,0.0
California,Alviso,4,1,3520.25,3979.35,74.36,3.0,25.0,777.75
California,Amador City,4,3,4683.25,3815.67,65.42,2.0,75.0,3098.14
California,Amboy,5,1,4147.2,14576.14,60.62,3.8,20.0,41.74
California,Anaheim,28,7,4069.68,66914.02,65.09,3.18,25.0,3592.34
California,Anderson,4,2,4403.0,5248.49,61.76,3.25,50.0,4254.25
California,Angels Camp,4,2,3764.25,6695.56,54.94,3.0,50.0,4834.15
California,Angelus Oaks,4,1,3559.25,744.72,43.25,3.5,25.0,97.72
California,Angwin,4,1,4607.0,16660.47,73.42,3.5,25.0,1448.8
California,Annapolis,4,1,5068.75,11454.97,68.08,3.5,25.0,2055.58
California,Antelope,4,2,5055.75,9686.59,73.86,2.25,50.0,1589.27
California,Antioch,4,2,4136.5,18918.43,83.6,3.25,50.0,6482.51
California,Anza,4,2,4765.5,12629.07,90.64,3.0,50.0,5383.3
California,Apple Valley,4,1,3766.0,14626.04,63.86,3.25,25.0,1683.22
California,Applegate,4,1,4793.25,16733.43,87.05,3.5,25.0,198.43
California,Aptos,4,1,3937.5,4765.89,27.9,3.75,25.0,2055.91
California,Arbuckle,4,1,5601.0,23179.52,60.25,3.5,25.0,9411.65
California,Arcadia,10,1,4040.5,20205.12,56.14,3.7,10.0,472.7
California,Arcata,4,0,4116.5,13039.75,63.66,3.75,0.0,0.0
California,Armona,4,2,4233.0,1627.45,58.58,3.25,50.0,1480.43
California,Arnold,4,1,4371.0,1215.61,27.22,3.5,25.0,74.15
