lat_grid,lon_grid,customers,churned_customers,avg_cltv,revenue,churn_rate_pct,revenue_at_risk
32.56,-117.04,5,1,3678.4,14807.46,20.0,1077.84
32.58,-117.12,4,1,3260.5,7851.71,25.0,818.93
32.58,-117.01,4,1,4878.5,6175.61,25.0,33.47
32.59,-116.64,5,0,4320.6,28014.16,0.0,0.0
32.61,-117.06,5,0,4409.8,12730.54,0.0,0.0
32.61,-116.98,4,1,5979.0,25278.92,25.0,6368.63
32.62,-116.69,4,0,3993.75,17888.52,0.0,0.0
32.62,-116.59,5,0,4912.0,25567.95,0.0,0.0
32.64,-117.05,4,1,5118.5,8447.73,25.0,168.92
32.64,-116.99,5,0,4581.2,13698.66,0.0,0.0
32.65,-116.22,2,0,3607.5,2040.07,0.0,0.0
32.67,-117.1,5,0,4740.4,17771.55,0.0,0.0
32.67,-117.0,4,1,3860.75,12247.85,25.0,665.67
32.67,-116.47,4,2,3630.5,3609.48,50.0,191.21
32.68,-117.05,5,1,3399.4,11793.71,20.0,1574.65
32.68,-116.3,3,0,3007.67,5002.44,0.0,0.0
32.69,-117.19,5,2,4367.0,19072.23,40.0,7669.95
32.69,-116.94,4,0,4776.25,15535.86,0.0,0.0
32.69,-115.43,5,1,4777.6,4624.68,20.0,312.44
32.7,-117.12,5,2,4616.2,14325.62,40.0,6339.28
32.7,-116.8,3,0,4774.67,18694.63,0.0,0.0
32.7,-115.89,4,1,5062.0,15191.79,25.0,108.33
32.71,-117.24,3,0,4437.67,4074.67,0.0,0.0
32.71,-117.06,5,1,5366.0,21267.37,20.0,2291.11
32.72,-117.12,4,0,3868.25,15376.37,0.0,0.0
32.73,-117.17,4,0,3198.25,6628.94,0.0,0.0
32.73,-117.03,5,0,4625.0,33843.03,0.0,0.0
32.73,-116.99,5,1,4256.8,14962.28,20.0,3977.83
32.73,-116.95,5,1,5010.8,12905.14,20.0,2833.01
32.73,-115.5,5,2,4961.8,17731.86,40.0,7376.58
32.74,-117.24,5,0,5603.4,35347.5,0.0,0.0
32.74,-117.13,3,1,3091.33,8727.43,33.33,3991.59
32.74,-117.09,2,0,4739.0,9990.64,0.0,0.0
32.75,-117.17,3,1,4017.33,6629.37,33.33,2173.37
32.76,-117.07,4,1,4530.5,15069.46,25.0,7508.66
32.76,-117.0,5,0,4335.2,15518.65,0.0,0.0
32.77,-117.2,4,1,4409.75,8414.19,25.0,1804.58
32.77,-117.14,3,1,4674.67,7223.92,33.33,557.03
32.77,-117.12,4,0,4316.5,24191.72,0.0,0.0
32.77,-115.61,5,1,3844.6,15315.31,20.0,327.71
32.78,-117.02,5,1,4621.4,19479.37,20.0,4428.28
32.79,-117.23,27,24,4073.56,56874.27,88.89,45052.15
32.79,-116.86,4,0,4202.25,8622.24,0.0,0.0
32.79,-115.69,4,3,4267.25,8354.08,75.0,7406.68
32.8,-117.03,5,1,4959.0,25899.2,20.0,5989.05
32.8,-116.97,4,0,4271.25,19919.59,0.0,0.0
32.8,-116.48,5,0,4259.2,13813.85,0.0,0.0
32.81,-117.17,5,2,4388.8,16750.88,40.0,601.04
32.81,-117.13,5,1,5126.2,11813.17,20.0,679.85
32.81,-117.06,5,1,4773.8,22982.68,20.0,5062.63
32.81,-115.15,2,0,5120.0,4156.83,0.0,0.0
32.83,-117.2,34,30,4501.09,79483.33,88.24,66875.02
32.83,-117.09,5,1,5159.4,19304.5,20.0,853.0
32.83,-116.87,4,0,4118.25,15972.08,0.0,0.0
32.83,-116.7,5,3,4616.8,11379.36,60.0,781.86
32.83,-116.44,4,2,3343.0,15030.32,50.0,6694.57
32.85,-117.25,4,0,4208.75,11349.68,0.0,0.0
32.85,-117.0,3,0,5493.0,5776.57,0.0,0.0
32.85,-114.85,4,0,3874.0,13505.99,0.0,0.0
32.86,-117.21,36,33,3915.17,74052.78,91.67,73064.56
32.86,-116.56,4,2,3481.0,8815.6,50.0,4660.07
32.86,-115.66,4,1,5510.25,15793.95,25.0,344.27
32.89,-117.15,32,28,4512.31,77047.67,87.5,56705.51
32.89,-117.09,5,0,4679.8,21222.5,0.0,0.0
32.9,-117.2,20,17,4499.1,28203.47,85.0,18781.41
32.91,-116.91,4,0,5156.0,17122.65,0.0,0.0
32.91,-116.64,5,0,4177.2,17849.42,0.0,0.0
32.95,-117.26,3,1,5244.0,23665.85,33.33,6085.89
32.96,-117.2,22,20,4473.14,58251.59,90.91,51348.08
32.96,-117.13,16,15,3923.56,35295.82,93.75,33770.47
32.98,-117.01,5,1,4675.2,25890.39,20.0,8950.8
32.98,-116.26,4,1,4798.5,5749.22,25.0,442.7
32.99,-117.21,4,0,4663.5,8568.09,0.0,0.0
33.0,-117.26,4,1,4853.0,16799.09,25.0,5370.42
33.0,-117.07,5,1,4346.2,6096.55,20.0,328.95
